epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.693063577016194,0.019192634560906516,4.506347292945499,0.033474413235859944,0.0001
2,4.5551667728939575,0.029957507082152973,4.384527002062116,0.057714505579068875,9.999726120980734e-05
3,4.384460462106241,0.04929178470254957,4.199328558785575,0.07656791073489803,9.998904513956854e-05
4,4.194472491204202,0.07415014164305948,4.048903590156918,0.113120430934975,9.99753526902683e-05
5,4.012400491817577,0.1075070821529745,3.8883375326792398,0.13351288957291266,9.995618536343798e-05
6,3.8068297704060874,0.1495042492917847,3.7332929088955833,0.17237398999615236,9.993154526099097e-05
7,3.605450011588432,0.2026912181303116,3.513539745694115,0.22162370142362448,9.990143508499217e-05
8,3.4130144140741847,0.2553116147308782,3.508958112625849,0.25663716814159293,9.986585813736167e-05
9,3.22706481572744,0.3162181303116147,3.2700997647785006,0.30934974990380915,9.982481831951275e-05
10,3.0636925267743633,0.36388101983002835,3.156466393243699,0.33012697191227397,9.977832013192385e-05
11,2.8968967231544287,0.4259206798866855,2.920140096119472,0.44209311273566754,9.972636867364526e-05
12,2.7400425726229005,0.47060906515580736,2.998694737752279,0.36860330896498655,9.966896964173981e-05
13,2.620637827091389,0.5143059490084986,2.7416669527689614,0.4444016929588303,9.960612933065818e-05
14,2.4971449869173066,0.5495750708215298,3.031759670802525,0.3505194305502116,9.953785463154861e-05
15,2.3714631462956333,0.5922804532577903,2.7901520956130255,0.41054251635244327,9.946415303150127e-05
16,2.2798900389456533,0.6172096317280453,2.511186724617368,0.5255867641400539,9.938503261272713e-05
17,2.180994881165994,0.6520538243626063,2.92417920203436,0.39553674490188534,9.930050205167172e-05
18,2.1182437641126617,0.6723087818696883,2.330267463411604,0.5544440169295883,9.921057061806362e-05
19,2.028280391349449,0.7060198300283286,2.521459284282866,0.4998076183147364,9.9115248173898e-05
20,1.952928799766678,0.7216713881019831,2.3818191460200717,0.55021161985379,9.901454517235501e-05
21,1.8991682604626492,0.7386685552407932,2.138399425007048,0.6252404771065795,9.89084726566536e-05
22,1.8378974671836372,0.7575779036827196,2.2494609469459173,0.6106194690265486,9.879704225884044e-05
23,1.778865977450534,0.7787535410764872,2.477227869487944,0.5225086571758368,9.868026619851436e-05
24,1.7376309869525668,0.7839235127478753,2.0287004766010104,0.6721816083108888,9.855815728148632e-05
25,1.6956444076589636,0.796742209631728,2.3609328269958496,0.5606002308580224,9.843072889837512e-05
26,1.6680261014818072,0.8044617563739377,2.028557680902027,0.657560600230858,9.829799502313895e-05
27,1.6269683172036935,0.8189093484419263,1.9989737839925856,0.6852635629088111,9.815997021154302e-05
28,1.5922947563566603,0.8268413597733711,1.9684312968027025,0.6906502500961909,9.80166695995633e-05
29,1.559458667093569,0.8374645892351275,2.138767514910017,0.6063870719507503,9.786810890172675e-05
30,1.542185927296544,0.8422096317280453,1.9428120056788127,0.7121969988457099,9.771430440938803e-05
31,1.5151884512858347,0.8531161473087818,1.911868004571824,0.6987302808772605,9.755527298894293e-05
32,1.493739086228448,0.8585694050991501,1.9858332475026448,0.6825702193151212,9.739103207997881e-05
33,1.4706538818977974,0.8660764872521246,1.846075835682097,0.7360523278183917,9.722159969336219e-05
34,1.4528154489156362,0.8693342776203966,2.333151874088106,0.5640631011927665,9.704699440926357e-05
35,1.4302417233183577,0.8793909348441926,1.9919651633217221,0.6764140053866872,9.686723537511998e-05
36,1.4129257900220853,0.8861189801699717,2.038296415692284,0.6767987687572143,9.668234230353521e-05
37,1.3932448346335609,0.8879603399433428,1.8983862059456962,0.718737976144671,9.649233547011815e-05
38,1.3865868390143454,0.8894475920679886,1.836226258959089,0.7433628318584071,9.629723571125924e-05
39,1.3664278801497038,0.8987960339943343,2.165534320331755,0.6460176991150443,9.609706442184561e-05
