epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.740585023706609,0.011946491165319408,4.591324632818049,0.03146853146853147,0.0001
2,4.654571689258923,0.019243150439945633,4.519398082386363,0.03496503496503497,0.0001
3,4.58474742716009,0.024894484584018887,4.496568766507235,0.04351204351204351,0.0001
4,4.548533647710626,0.028113598969883396,4.437575947154652,0.04428904428904429,0.0001
5,4.50005298094316,0.03390800486443952,4.422335451299494,0.04623154623154623,0.0001
6,4.463028942454945,0.036268688747406824,4.327940160577947,0.05128205128205128,0.0001
7,4.420506876165216,0.04277845339437728,4.293299674987793,0.056332556332556336,0.0001
8,4.376676628806374,0.04521067315258602,4.214251214807684,0.07187257187257187,0.0001
9,4.3329415234652435,0.05114815079762501,4.1933490146290175,0.07303807303807304,0.0001
10,4.3003756436434655,0.05150583017383218,4.18900203704834,0.0707070707070707,0.0001
11,4.247247747941451,0.06209313970956434,4.108039487491954,0.08469308469308469,0.0001
12,4.216520508852872,0.06617068459832606,4.1117707165804775,0.08857808857808858,0.0001
13,4.178129412911155,0.0677444738536376,4.036374092102051,0.09984459984459984,0.0001
14,4.139737380634655,0.07525574075398812,3.996426647359675,0.10217560217560218,0.0001
15,4.096129126982255,0.08255240002861435,4.01621903072704,0.108003108003108,0.0001
16,4.068496582724832,0.08376850990771872,3.8687094124880703,0.11926961926961926,0.0001
17,4.020728176290339,0.09042134630517204,3.973275141282515,0.10528360528360528,0.0001
18,3.9915989832444625,0.0982187567064883,3.8084774017333984,0.13597513597513597,0.0001
19,3.958322590047663,0.10458544960297589,3.821598681536588,0.12393162393162394,0.0001
20,3.920809490030462,0.11016524787180772,3.7467950257388027,0.14996114996114995,0.0001
21,3.8680172833529385,0.11638886901781244,3.7225083004344595,0.16200466200466201,0.0001
22,3.841656511480158,0.126546963302096,3.6574409875002774,0.16394716394716394,0.0001
23,3.800948970968073,0.132484440947135,3.669122890992598,0.1655011655011655,0.0001
24,3.7712367361242123,0.13749195221403535,3.62198543548584,0.17327117327117328,0.0001
25,3.741224601052024,0.14171256885327993,3.6106376431205054,0.18414918414918416,0.0001
26,3.7041749173944645,0.1544459546462551,3.541540817780928,0.19153069153069152,0.0001
27,3.6773271387273616,0.1593103941626726,3.5331196134740654,0.19425019425019424,0.0001
