Epoch	Train Loss	Val Precision	Val Recall	Val F1-Score	Val mIoU	Learning Rate
1	2008.4212	0.98	0.93	0.96	0.87	0.000100
2	398.1682	0.99	0.95	0.97	0.89	0.000100
3	332.5390	0.99	0.94	0.97	0.90	0.000100
4	307.1945	0.99	0.96	0.97	0.90	0.000100
5	293.9591	0.99	0.95	0.97	0.90	0.000100
6	283.7746	0.99	0.98	0.98	0.90	0.000100
7	276.1310	0.99	0.98	0.98	0.90	0.000100
8	269.4658	0.99	0.98	0.99	0.90	0.000100
9	264.2353	0.99	0.98	0.98	0.90	0.000100
